id;budget;genres;imdb_id;original_title;overview;popularity;poster_path;production_countries;release_date;title;vote_average;vote_count
584;76000000;[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}];tt0322259;2 Fast 2 Furious;"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.";232.462;/hZVcmztCVo510FhBXyLqStiTAce.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];05/06/2003;2 Fast 2 Furious;6.2;2087
391975;0;[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}];tt4932244;2 Lava 2 Lantula!;When an unprecedented amount of sinkholes erupt all over Florida, a new nest of fire spitting LAVALANTULAS is awakened… wreaking their fiery havoc all over the sunshine state.;1.655.786;/lV0jb1qU0JqJwzPHj4jMirFBse9.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];06/08/2016;2 Lava 2 Lantula!;5.1;18
10845;3000000;[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}];tt0264323;2001 Maniacs;On their way to Spring Break, college kids take a detour through an old Southern town. The people of Pleasant Valley insist the kids stay for their annual barbecue celebration... but instead of getting a taste of the old South, the old South gets a taste of them!;4.619.056;/iaNyu2g37ZNGlFLSmAxZ9TzvTPd.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];12/05/2005;2001 Maniacs;4.9;70
62;10500000;[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}];tt0062622;2001: A Space Odyssey;Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.;22.494.622;/90T7b2LIrL07ndYQBmSm09yqVEH.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}];10/04/1968;2001: A Space Odyssey;7.9;3075
64688;42000000;[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}];tt1232829;21 Jump Street;In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.;11.250.764;/mH6xazzfGdszadd1Xy9JgdZYvn1.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];12/03/2012;21 Jump Street;6.7;4151
20553;0;[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}];tt0075610;21 Up;After another 7 year wait, director Michael Apted revisits the same group of British-born children from Seven Up! and 7 Plus Seven. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.;1.554.186;/3tcGvmyXTKcsX6gPXzITsir8msz.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];01/01/1977;21 Up;7.9;18
187017;50000000;[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}];tt2294449;22 Jump Street;After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.;10.901.496;/gNlV5FhDZ1PjxSv2aqTPS30GEon.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];05/06/2014;22 Jump Street;7.0;3375
170;5000000;[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}];tt0289043;28 Days Later;Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.;17.656.951;/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];31/10/2002;28 Days Later;7.1;1816
20561;0;[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}];tt0088650;28 Up;No overview found.;0.018017;/hJPb7hrRsPyZ4YtYOIXu1K1ibUm.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];20/11/1984;28 Up;7.9;19
1562;15000000;[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}];tt0463854;28 Weeks Later;In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.;12.884.191;/kcJ99AtUykDhpzfQOApsViQa3fj.jpg;[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}];26/04/2007;28 Weeks Later;6.5;1225
137475;0;[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];tt1942787;3 Holiday Tails;Rod and Katherine Wright are enjoying their retirement in Florida – or so they’re telling each other. Actually, Rod’s been bored with nothing to do, and Katherine misses her kids back home, especially with Christmas right around the corner. At least they’ve made friends with their new neighbor Lisa, who’s a golden retriever fan like them – Rod and Katherine’s dog Jake has three new puppy playmates, Mario, Luigi and Pasquale. But when Jake and the puppies take off during a walk with Lisa and interrupt a wedding proposal, Lisa is mortified to discover the proposer is none other than her lifelong-friend-turned-boyfriend-turned-ex, David. Everyone can see that David and Lisa are meant to be together. Everyone, that is, except for David and Lisa. Now, with David’s wedding approaching, they must decide whether to leave their love in the past, or to give it another chance. With a little help from Rod and Katherine and four lovable pups, it’s sure to be a Christmas to remember.;0.750256;/n2XxpSsYeLxmdhlxuDHoNMC7h10.jpg;[];15/11/2011;Golden Christmas 2;5.6;5
16314;0;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0103596;3 Ninjas;Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!;11.035.859;/lvfgYcK0dpgwCuRX4mTqc1Yg3yF.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];07/08/1992;3 Ninjas;5.5;102
18885;0;[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0109015;3 Ninjas Kick Back;During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.;3.775.127;/paFMTv9IuZJaVkPZZvwtS5Ta5D9.jpg;[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];06/05/1994;3 Ninjas Kick Back;4.6;50
40508;0;[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0112255;3 Ninjas Knuckle Up;Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joe's father and find a secret disk that contains evidence that could stop the toxic landfill that is destroying the Indian community. However the town is owned by the rich man and he controls the police and even the mayor. They must fight a motorcycle gang and renegade cowboys in this non-stop ninja adventure.;2.544.118;/bd9if2VRAxBrXxkhT28hXMiusY1.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];07/04/1995;3 Ninjas Knuckle Up;4.2;32
32302;0;[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0118539;3 Ninjas: High Noon at Mega Mountain;Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by evil Medusa, who wants to take over the park and hold the owners for ransom. Kids and retired TV star Dave Dragon, who made his farewell appearance at the park at the time the ninjas appeared, have to break Medusa's vicious plans.;3.014.082;/qTavfpV1XWblnrfkASOxBnrdO0M.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];10/04/1998;3 Ninjas: High Noon at Mega Mountain;3.9;38
4513;30000000;[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}];tt0389722;30 Days of Night;This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.;8.764.548;/utaOrixJukf5HrlMjmHrRhA7DKk.jpg;[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];17/10/2007;30 Days of Night;6.2;784
42941;0;[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}];tt1320304;30 Days of Night: Dark Days;After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.;7.320.221;/y3GK3hpDNPsPN7uQ7A8GO53UJWZ.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];04/10/2010;30 Days of Night: Dark Days;4.8;121
53182;110000000;[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}];tt1253863;300: Rise of an Empire;"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.";12.904.677;/gWQf5j3ZqEfOdW2rIZnkuOOva78.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];05/03/2014;300: Rise of an Empire;6.1;2438
20562;0;[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}];tt0101254;35 Up;Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.;0.930397;/pQesAe0yl5SIV7YHWXI8RKRICUh.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];29/08/1991;35 Up;7.7;8
1979;130000000;[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}];tt0486576;4: Rise of the Silver Surfer;The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.;12.924.254;/fXpziQgnBnB4bLgjKhjTbLQumE5.jpg;[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];13/06/2007;Fantastic 4: Rise of the Silver Surfer;5.4;2648
20565;0;[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}];tt0164312;42 Up;Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.;0.697268;/aC1VEsiImpL1SwLnm7cKK6ro8qR.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];28/07/1998;42 Up;6.6;9
150;12000000;[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}];tt0083511;48 Hrs.;A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.;15.297.121;/rq8NvwC5tC2E8SNU1CF8iJJErNQ.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];07/12/1982;48 Hrs.;6.5;364
13365;0;[{'id': 99, 'name': 'Documentary'}];tt0473434;49 Up;"49 Up is the seventh film in a series of landmark documentaries that began 42 years ago when UK-based Granada's World in Action team, inspired by the Jesuit maxim ""Give me the child until he is seven and I will give you the man,"" interviewed a diverse group of seven-year-old children from all over England, asking them about their lives and their dreams for the future. Michael Apted, a researcher for the original film, has returned to interview the ""children"" every seven years since, at ages 14, 21, 28, 35, 42 and now again at age 49.In this latest chapter, more life-changing decisions are revealed, more shocking announcements made and more of the original group take part than ever before, speaking out on a variety of subjects including love, marriage, career, class and prejudice.";0.769595;/rCIMiq6XY7UnAsljlmJy8iazTqL.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];15/09/2005;49 Up;6.9;12
116167;0;[{'id': 99, 'name': 'Documentary'}];tt2147134;56 Up;When a cross-section of seven-year-olds were interviewed for 7 Up in 1964 it was immediately evident that their social backgrounds influenced their attitudes towards life. While the upper class children were confident and self-assured, those from middle and working class backgrounds were resigned to a challenging life of hard work. This premise was put to the test every seven years when the same group were interviewed about the progression of their lives. 49 years in the making, the changes that occurred to the original 14 make for fascinating television and are in many ways the stories of all our lives. From success and disappointment, marriage and childbirth, to poverty and illness, nearly every facet of life has been captured on film. Now, at the age of 56, the group are once more brought together and, with the benefit of hindsight, assess whether their lives have been ruled by circumstance or self-determination.;0.513828;/32tZc2nndes6xKDHR7sBibIEzZ7.jpg;[];14/05/2012;56 Up;7.5;12
83473;0;[{'id': 27, 'name': 'Horror'}];tt2072029;7 Nights Of Darkness;In 2010 six reality television show contestants spent seven nights in an abandoned and haunted asylum. The show never aired but an editor for the network was able to piece together some footage. The prize for staying all seven nights was a share of one million dollars that was to be split amongst any contestants that didn't leave. No prize money was ever awarded.;1.001.794;/npcd3KUTozDBXADpro34gfnq7yP.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];08/11/2011;7 Nights Of Darkness;4.2;11
50754;0;[{'id': 99, 'name': 'Documentary'}];tt0066356;7 Plus Seven;After a 7 year wait, director Michael Apted revisits the same group of British-born children from Seven Up! The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.;0.001021;/1XmhSLNK1oUgk7fYIQQxK83wZhT.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];01/01/1970;7 Plus Seven;7.5;20
57313;500;[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}];tt1667418;8213: Gacy House;A group of paranormal investigators enter the abandoned home of paedophile and serial killer John Gacy, hoping to find evidence of paranormal activity. Upon entering the house they set-up cameras throughout the abandoned house while going room to room with hand-held cameras, performing séance's and asking for John Gacy to come forward. As the evening progresses it seems the investigators are not prepared for the horror still within the house.;1.184.452;/1GE5jrEB5ZefrzKwGgv6uSUCLpI.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];28/09/2010;8213: Gacy House;3.2;18
8224;40000000;[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}];tt0134273;8MM;A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.;7.473.718;/oEgBIcIJb1Z5sperKxE8Pb4tTr0.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];26/02/1999;8MM;6.1;479
7295;0;[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}];tt0448172;8MM 2;An American diplomat and his fiancée venture into the sordid underworld of sex and pornography in Budapest, Hungary to find out who is blackmailing them with a porno video taken of them with a prostitute.;3.330.757;/xj8ztzGqqQ1q3DYO830GfjANmpC.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];22/11/2005;8MM 2;4.1;28
24038;0;[{'id': 27, 'name': 'Horror'}];tt0094597;976-EVIL;People who dial 976-EVIL receive supernatural powers and turn into satanic killers. When Spike dialed 976-EVIL, he knew it was an expensive toll call, but he didn't know that he'd have to pay for it with his soul.;15.360.682;/nFEHpA88xLiQooFH2TWAdIF4jAW.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];09/12/1988;976-EVIL;4.9;33
28751;0;[{'id': 27, 'name': 'Horror'}];tt0101256;976-Evil II;After being bestowed with demonic powers following a phone call to Hell, a psychotic teacher begins a rampage of death and destruction in a small town, forcing a teen and her boyfriend to fight him off so that they can get away.;285.339;/aY3R5qHjk6KDkKeKvenVnAKIwDz.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];22/04/1992;976-Evil II;4.3;14
850;0;[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0085334;A Christmas Story;The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.;7.337.907;/1dSFarRSXwMjFODxPTwyaiNZotF.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}];18/11/1983;A Christmas Story;7.4;352
125504;0;[{'id': 35, 'name': 'Comedy'}];tt2281069;A Christmas Story 2;The original traditional one-hundred-percent red-blooded two-fisted all-american christmas contiunues five years later with Ralphie, Randy mom and the old man. This time Ralphie has his eyes fixed on a car. But trouble is sure to follow.;1.526.826;/iJkPmBIGlVr2A9F5G7D56NIUoAC.jpg;[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];06/09/2012;A Christmas Story 2;4.1;11
11247;19000000;[{'id': 35, 'name': 'Comedy'}];tt0356470;A Cinderella Story;Sam Montgomery is a tomboyish, unpopular girl at school. She has been text messaging a somebody named Nomad for a few months and he asks her to meet him at the Halloween dance at 11:00 in the middle of the dance floor. The only problem is, she must get back to the diner, ran by her wicked Stepmom Fiona by 12 sharp because she is not supposed to be there. Before Nomad can found out who she is, she must leave with her best friend, Carter driving her back to the diner. After that night, everything in Sam's life goes wacko!;8.385.361;/lzIjehNqNCFOuCRT9xJ2FYf1WPS.jpg;[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];10/07/2004;A Cinderella Story;6.1;737
407655;0;[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}];tt5822648;A Cinderella Story: If the Shoe Fits;A contemporary musical version of the classic Cinderella story in which the servant step daughter hope to compete in a musical competition for a famous pop star.;5.761.235;/cD7N6mUfFNUgb5Wk4s7TEteB5Nb.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];02/08/2016;A Cinderella Story: If the Shoe Fits;6.1;99
74018;0;[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}];tt1814614;A Cinderella Story: Once Upon a Song;In this modern telling of the classic tale, aspiring singer Katie Gibbs falls for the new boy at her performing arts high school. But Katie's wicked stepmother and stepsister are scheming to crush her dream before she can sing her way into his heart.;5.899.663;/uFozNoI2D4AdEDZveTKmxjxX5fD.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];05/09/2011;A Cinderella Story: Once Upon a Song;6.1;282
532;0;[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}];tt0112691;A Close Shave;Wallace falls in love with wool-shop owner Wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. Gromit is set up and jailed, but his new-found sheepish friend is determine to give Wallace a helping hand in finding out the real truth.;6.796.858;/efFW4euBJIha6WVJoBPSfyui2Aa.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}];24/12/1995;A Close Shave;7.5;223
43551;0;[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}];tt0033517;A Date with the Falcon;"In the second film of the series (and not a second part of anything), Gay Lawrence, aka The Falcon, is about to depart the city to marry his fiancée, Helen Reed, when a mystery girl, Rita Mara, asks for his aid in disposing of a secret formula for making synthetic diamonds. He deliberately allows himself to be kidnapped by the gang for which Rita works. His aide, ""Goldy"" Locke, trails the kidnappers and brings the police. But the head of the gang escapes, and the Falcon continues the pursuit.";0.280027;/io6VHx7nKThfTbuUk0LaexWGHfg.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];16/01/1942;A Date with the Falcon;7.0;4
